,Unnamed: 0,Unnamed: 1,OL,Cuneus ,Mesial Occipital,Lingual gyrus ,Lateral Occipital,Posterior Occipital Gyrus,Unnamed: 8,Unnamed: 9,Unnamed: 10
0, Right Calc calcarine cortex,109.0,109.0,,109.0,,,,,,
1, Left Calc calcarine cortex,110.0,110.0,,110.0,,,,,,
2, Right Cun cuneus,115.0,115.0,115.0,115.0,,,,,,
3, Left Cun cuneus,116.0,116.0,116.0,116.0,,,,,,
4, Right IOG inferior occipital gyrus,129.0,129.0,,,,,,,,129.0
5, Left IOG inferior occipital gyrus,130.0,130.0,,,,,,,,130.0
6, Right LiG lingual gyrus,135.0,135.0,,135.0,135.0,,,,,
7, Left LiG lingual gyrus,136.0,136.0,,136.0,136.0,,,,,
8, Right MOG middle occipital gyrus,145.0,145.0,,,,,,,145.0,
9, Left MOG middle occipital gyrus,146.0,146.0,,,,,,,146.0,
10, Right OCP occipital pole,157.0,157.0,,,,,157.0,,,
11, Left OCP occipital pole,158.0,158.0,,,,,158.0,,,
12, Right SOG superior occipital gyrus,197.0,197.0,,,,,,197.0,,
13, Left SOG superior occipital gyrus,198.0,198.0,,,,,,198.0,,
14,,,,,,,,,,,
15,,,,,,,,,,,
